公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
AS,2C,6S,JS,7S,83,5D,AD,TS,KD,0
5H,8D,7H,TH,6C,384,TC,5S,5C,AC,1
9D,JS,4C,3H,KH,160,QS,3C,JH,4D,0
7H,9C,9D,6H,8S,73,AH,JH,3C,KD,1
JC,8D,4D,9C,6C,91,4H,5D,KC,AH,1
7C,AS,6D,4C,2H,184,JS,5S,2C,KS,0
2D,7S,6H,KH,6D,175,4D,4S,AH,JS,1
JC,3D,TD,5D,KD,57,4H,QS,3H,6D,0
6H,8H,3C,5H,4S,124,KD,7H,AD,KS,1
QS,KC,6D,TS,4C,263,KS,5D,2S,3H,1
3S,AH,7H,5S,QD,472,6C,9H,TS,TD,0
3H,6D,QH,KH,JH,399,7C,QS,8D,2S,1
AS,8C,QS,TH,TD,486,7D,4D,5D,6S,0
5D,KS,QS,6H,AC,34,JH,7C,4H,AH,0
2C,KD,2S,JH,8H,134,9C,5C,5D,QC,0
QC,AS,7C,7D,AC,469,4S,KD,2C,TC,0
JH,6D,AD,QS,7D,143,JD,2S,JC,3C,0
7D,5S,KC,TD,QS,10,4S,8C,3C,KH,0
4C,KH,2D,JH,9D,303,9C,4D,5S,8S,1
2S,QC,5C,7H,4D,241,TD,JC,4C,JD,0
9S,3S,3D,JH,TS,87,4C,8S,6S,2H,0
TS,7C,5H,5D,9H,84,4C,KH,4D,9S,0
3H,4D,JC,6S,9S,314,8H,8C,5D,6H,1
3H,AS,JC,AC,KS,197,9S,3S,9H,7S,1
QD,QS,9D,7S,KH,283,4H,AC,2D,JS,1
7C,9H,5H,9D,9C,85,2C,KH,TS,9S,0
2D,JH,TC,4H,QC,44,8S,2S,9D,2C,0
AH,3S,9H,2H,6H,158,QC,KS,4S,3C,0
7H,4S,KC,7C,8H,155,9D,7D,5C,QS,1
8S,TH,6H,2C,4D,288,KS,4C,QS,9C,1
2C,JH,KH,3C,8D,152,9C,6C,7C,JD,0
8S,7C,3C,QH,4S,450,5D,8C,AC,5S,1
TS,2S,QS,3S,AC,238,AD,KH,8S,9C,0
QS,JS,3H,5C,KH,144,3S,7S,5H,8C,0
TH,8D,7D,QH,KC,188,5C,7C,6C,2D,1
2H,7S,5D,8D,TD,69,8C,3D,3S,7C,1
QD,4H,6H,5S,2H,500,3D,4S,AS,4D,1
7S,2C,QH,JD,5S,256,4H,QD,KD,3S,1
AC,TS,QS,2C,JH,223,3S,3H,2D,9H,1
2H,7S,JC,4S,AS,76,2D,KC,8C,4H,0
9S,KS,6C,3H,3D,248,3S,KH,4H,9H,1
8C,7C,KD,2S,6H,348,8H,5H,7H,QH,1
9D,6H,JH,5S,4C,337,JD,QC,8D,KC,1
QD,TC,3H,QC,5D,493,7C,9D,2C,8C,1
3S,8D,6C,8S,9S,58,TH,AH,2H,7C,1
AC,JS,8C,JH,6D,207,8H,5S,JD,4S,0
6S,KH,4D,QS,6D,213,AD,6C,KS,5H,1
2D,QD,7C,3S,4C,143,8S,JD,QH,QC,0
5S,KS,QC,KC,KH,333,5H,8H,9D,AC,1
TH,3D,JH,2C,5C,104,JD,4C,AS,QS,1
4C,9D,TC,QD,AH,23,3H,8D,KH,JH,0
2H,6S,AC,JC,2S,124,TS,7H,AS,4D,0
5C,6C,8D,JS,9D,331,KC,8S,2C,2D,1
JH,5H,4C,4S,8S,223,2C,5S,JD,8H,0
7D,5D,JD,QD,4S,423,3C,AS,TC,KH,1
3S,7D,AC,4S,6D,27,9C,8H,2D,6C,0
4S,KC,AD,6S,KD,473,JD,AS,4D,2S,1
QD,JC,7D,7S,QH,187,6C,TH,9H,KD,0
KH,5H,6H,QH,2C,458,TC,KD,4C,JH,0
4C,TS,6S,3H,7S,324,AC,7D,8S,9C,0
3D,KC,2S,6S,KH,178,9D,AC,8C,9H,1
3S,7H,8D,9C,AH,391,2H,QS,4S,QC,0
TD,AC,9D,JS,7H,192,2H,JC,AD,JH,0
7H,3C,QC,6S,AH,11,4H,KC,7D,AC,0
7S,3S,5D,KH,5C,246,QC,2D,AH,QS,0
9H,4C,JD,5C,5S,229,8S,3D,7H,5D,0
TC,TH,8D,9S,6S,120,6H,9H,6C,KD,1
KD,9S,5H,6H,TS,441,AS,2C,TD,3H,0
7D,7S,6D,KH,7H,144,6S,3C,AD,2C,1
AD,9D,JC,9C,3D,400,5C,5H,9S,6D,0
KH,4C,JS,5D,QD,97,JC,6S,3S,8H,1
KD,6D,TS,8C,3D,493,JC,5D,9S,JD,0
3S,KH,AC,2H,5S,113,8H,2D,4S,9H,0
9C,8H,8D,QD,JH,309,AS,3H,9S,4S,0
JC,2D,8C,JS,4S,72,5C,4D,6D,6H,0
4C,3S,AD,4H,4S,86,5H,QS,QD,KC,0
2C,5D,5H,6C,9H,152,TC,6D,AD,QH,1
5S,9D,3C,6C,3H,160,5H,2C,QC,3D,0
4H,JH,7H,QS,9H,39,2S,5H,3D,6C,1
6H,AH,9C,TS,3S,436,QC,QS,JH,9D,1
4S,AD,TH,7S,KH,408,8S,KS,2C,JC,1
QD,KC,JD,9S,5D,176,JC,3D,9D,KS,0
TC,3H,8S,6H,4S,52,7H,AC,2H,6C,0
AC,3C,8D,4S,5C,18,2S,8S,6H,KD,1
3C,5D,9S,JS,AD,344,4S,KH,TD,9H,0
JS,5D,8S,QC,3C,244,JH,6S,7H,5C,1
KS,5D,3H,3S,QC,237,2S,7D,AD,7C,0
5S,2D,2C,4C,2H,355,9C,7C,TH,2S,0
8H,7C,QS,7S,6H,387,6D,6S,4D,3C,1
9C,TH,3D,5S,JC,473,7S,5D,JS,8S,0
9C,9D,7H,8C,3C,73,8D,QH,JH,9S,0
AD,KH,9S,6S,TD,440,QS,JD,KC,JC,1
7C,3H,3D,JC,2S,358,5S,KS,AC,8C,0
3D,9D,9S,5S,8H,360,5D,KD,AH,QH,1
KS,5H,5S,AD,TS,449,4D,4H,7H,AS,0
5H,2H,QD,8S,JD,40,5D,8H,TH,5S,1
8D,QD,7H,2D,8C,164,7D,5D,8H,6C,1
KC,AD,2D,4S,AH,27,8S,JS,3C,AC,0
TD,8D,3H,TS,5D,207,AS,5C,8S,7C,0
9S,9H,9D,5S,JC,460,KC,5H,6S,QS,1
AS,6H,9C,6S,TH,148,JC,3S,AH,2S,0
3C,7D,6H,4D,7H,176,2D,8H,JH,9H,0
JC,5D,QC,KS,TD,66,QH,AD,7C,4S,1
4S,9D,QC,2D,TS,99,4C,QD,5D,6C,1
2D,QS,8D,4S,AD,309,9D,5S,2S,QD,0
8H,4H,AC,2D,2H,299,6C,4C,TD,4S,0
6S,QD,9S,3H,AC,58,QC,7S,8S,6C,1
7H,4D,2D,3H,7D,87,2S,4S,TS,8C,1
5C,5H,6H,7S,8S,221,5D,9H,3S,QD,1
8D,9C,6C,AC,8C,107,QS,KS,KH,6S,0
4C,TC,2H,9S,AS,445,QS,3D,5C,7S,1
AH,TC,JH,2D,7H,119,KC,5S,6C,5D,1
3C,8C,5C,QD,QH,45,KH,JS,4D,QS,0
4C,9D,TC,AC,7C,448,6C,8S,5D,7D,1
AH,TD,4S,8H,5C,50,8C,7H,9H,5S,1
TC,2C,9H,2H,6H,436,3D,4H,3C,5D,0
9S,QS,4D,AH,TS,421,3S,6D,TC,8C,0
JH,JS,5D,JC,AH,290,6D,3C,QH,5S,0
4S,3H,3D,3S,3C,166,4C,QD,QC,9H,0
JH,KD,KS,9S,4D,420,2H,5H,3H,6C,0
3H,4H,JC,9D,8S,439,2C,4D,AS,8D,0
JS,2D,4C,3C,3H,497,9H,5C,QD,QC,0
KS,QS,9S,3H,3S,197,JD,JC,8D,TD,1
KC,2D,3S,6H,8D,182,2S,2H,JC,JS,1
KD,3H,2S,AH,3C,170,JD,4D,7S,TH,1
JC,9C,AS,6H,6S,308,JD,KS,2D,9D,1
3C,9H,TD,AS,4D,460,QH,2D,4S,8H,0
4D,6D,TS,4H,8D,473,QH,6S,3C,8C,0
7S,2C,QC,AD,JD,82,2D,4C,3D,TC,1
4S,KS,3H,JC,9H,75,3D,3S,TD,QC,0
5D,TC,AH,AS,JC,482,2C,4D,6S,9D,0
9S,AC,7C,2C,5D,191,7H,5S,2H,4S,1
2S,AS,2D,8D,8H,10,3H,5H,QH,TS,0
JH,KC,6H,9S,TH,329,QD,JD,8D,AS,1
3D,KD,AH,4D,3S,309,JS,6S,9D,2H,1
3D,2C,QC,4H,6H,471,TS,3C,JC,AD,1
TH,2C,QH,3C,6D,241,8C,TC,9S,5S,1
7S,AH,JD,7D,2C,265,KS,QD,2S,5H,0
7D,2S,4H,JC,AC,79,JS,QS,7C,4D,0
AD,2C,5D,QS,AC,420,QH,2S,7C,QC,0
3H,4D,8D,9H,2D,325,AH,7H,QC,6H,1
JH,3C,QH,3H,9S,418,KS,7S,5H,8H,0
AS,9D,9S,JC,5D,461,5H,6H,3H,2D,1
AC,8S,TD,AH,7D,475,JS,QS,JH,KS,0
JH,3S,QD,6S,5H,247,7C,TS,2D,2H,0
AC,5H,2C,9H,4D,366,3S,4C,8H,8D,1
JS,8S,5D,JH,7D,120,JC,6S,KD,3H,1
TS,AH,4S,5H,7D,242,AS,KD,2D,9D,1
KH,3S,JS,AH,7C,204,TH,QD,5S,AD,1
9H,7S,TS,2H,8C,12,JC,JH,KH,7H,1
7C,5S,4H,JS,TH,487,JD,QC,9C,4C,1
KH,TS,AC,6H,7S,359,9H,6C,3D,TH,0
KH,5C,AH,8S,3H,360,6H,5H,2D,6C,1
5H,9C,5S,3C,6H,493,TS,TD,AH,QS,1
JC,TS,9S,7D,QH,271,7C,6D,7S,2S,0
KS,6D,4D,2C,AC,409,6C,QS,3H,3D,1
TC,9S,5H,9D,9H,283,AH,4D,4C,6C,1
2D,5S,4C,8H,6D,496,5H,7C,AS,AC,1
5C,8C,AS,7C,4S,328,TS,QH,AD,6S,0
4D,6S,9H,KH,AD,378,TC,TD,QH,3D,1
9D,3S,5D,5H,JC,396,7H,AD,3H,QS,0
TS,7C,2D,KS,TH,29,4H,3C,6C,6H,0
8H,KS,AC,5D,AH,153,QS,8S,3C,JS,1
KC,2D,3C,4D,6H,46,2C,5D,QS,KD,1
3S,JH,6D,JD,6S,157,AD,6H,9D,5S,1
AS,QS,7C,5S,JS,383,8H,AH,4D,KS,0
6H,2S,6S,4S,KD,210,QH,QD,5H,JC,1
4C,7C,8D,KH,5S,187,JH,7S,7D,2S,1
TC,9C,AS,5H,AC,146,KC,4S,2H,QS,1
7H,9C,TH,7C,AH,224,3S,KC,6H,3D,1
2C,JS,QS,3D,7C,301,9D,8D,8H,JH,0
9H,4D,6H,TS,8C,318,3C,QD,QS,AH,0
7C,KH,5S,5C,5D,12,TC,6D,7S,TS,0
8S,4C,3C,QD,4D,21,4S,3S,JD,JS,1
4H,7C,QH,6C,JS,253,TS,8C,QS,JC,0
3H,6C,7H,AC,3D,203,JH,5C,KH,KC,0
AC,QC,3S,2H,3H,438,QS,8S,6S,AH,0
AH,6H,7D,9S,8H,390,AC,TH,QD,8S,1
6D,5D,JH,9D,6H,50,3H,KD,5S,3C,0
JD,KD,3C,5D,4H,382,8C,6C,9C,AD,0
2H,9D,9H,QH,6C,466,JC,KH,3D,5S,1
9D,QS,KD,5D,JS,266,6S,8D,AD,7H,0
JC,6S,3S,6H,2S,212,TS,KC,TC,TD,0
5H,3D,AS,8S,9D,305,AC,TH,2D,6C,1
5H,8D,6S,7C,2H,282,6C,JH,KD,2C,1
TH,3S,AD,7H,QS,147,2C,3H,9C,AC,0
QH,9H,QC,TH,5C,393,TD,4S,9D,JC,1
TD,8S,3S,2H,7C,224,5H,AS,8C,9S,0
4H,2C,TC,5C,TS,254,TD,3C,JD,5H,1
AC,5D,TS,AS,3D,454,JS,3H,8S,7H,1
JS,QC,8D,2S,TS,41,KC,TH,2H,3C,1
QS,6D,7H,9C,8C,367,4H,5H,KD,QD,1
5D,4H,2S,AH,QS,390,9C,3C,QC,QD,1
AH,3D,7D,TH,TS,289,8H,JH,AC,7H,0
3C,7D,3D,JH,8S,177,3H,8H,QH,4H,1
TD,4H,9H,KD,8C,365,7H,KH,AC,4C,1
QC,9D,KS,9C,AS,96,6D,AH,8D,JH,1
6D,KC,6S,KD,9H,239,5C,8D,7C,2H,0
2S,3D,3S,4S,TS,118,QD,7H,AS,9H,0
8C,9C,5D,5C,KS,241,TC,8D,3S,2D,1
2H,4C,8H,3H,TD,493,4H,9D,6C,JC,1
KD,2H,9S,9C,JD,16,7C,3S,8S,TH,0
QC,TS,9H,9S,AS,419,KS,2D,8S,6C,1
QS,5H,KH,5S,2S,258,KS,QD,2D,2C,0
2D,9S,QD,5S,AH,454,TS,JD,7C,TD,1
8S,KC,AD,AH,5C,76,6H,3C,8C,4C,0
8S,6H,2D,TS,7S,406,QC,AC,9H,6D,0
QS,TS,JS,4D,7S,156,9C,AC,2D,6C,1
QS,KC,TH,QH,3D,394,AC,AD,KS,9C,1
KD,3C,8C,KS,TH,88,9D,6D,6S,3H,0
6C,7S,5H,7H,KD,98,AC,TS,KS,AH,0
TC,KS,7C,2H,7D,120,7H,8D,4D,KC,1
3D,3C,QH,7H,KC,448,6S,TC,AS,7D,0
KD,JD,6H,5C,JS,210,5H,KH,6S,9H,1
JC,9D,JS,8D,7S,435,6D,KD,3H,TC,0
8H,6H,JD,AD,AS,123,4S,KD,QD,3D,1
KC,JC,2C,3C,TH,203,5D,KH,4H,QH,1
7C,JC,AD,AS,6S,409,8C,JD,5S,4S,1
JS,KH,2D,8C,4C,165,KC,QD,QH,TS,1
4D,9C,7D,2H,AC,365,7H,TD,2C,JD,1
2D,6H,8C,3C,7D,20,8D,QH,3D,JD,1
6S,6D,9C,9H,TD,93,JH,3S,TS,AD,0
7D,QC,JS,KH,5C,209,6S,2S,KS,AH,0
JC,5H,6D,6C,8C,99,2S,QC,3D,TD,1
AS,KH,7S,QH,8S,223,3H,6C,9S,KC,0
6H,2C,9C,7D,AD,96,QD,TH,4H,QS,1
AS,5H,AD,9H,2C,474,5D,AC,TS,8S,1
AH,6S,7D,KH,TC,170,9D,2H,JC,5H,0
8H,KH,2D,8S,QC,122,5C,3S,5H,AC,0
7S,3S,5C,AH,9H,424,2S,TH,9D,9C,0
4C,TD,3C,KD,3H,209,7S,9D,2D,7H,1
JD,5S,9H,3C,2C,411,6S,KH,6C,5H,0
QD,KC,2S,7S,2H,354,8H,7H,TC,2D,0
TH,KH,KS,3H,4C,342,AS,3D,TD,TC,0
2C,2S,TC,5D,6C,294,7C,AC,TH,9S,1
4S,AC,2H,AS,QC,201,AD,6D,9H,9S,1
8C,3H,6S,KD,TS,73,7S,2C,JC,2H,0
KS,7H,2H,JS,5D,466,AS,8S,QC,KD,0
8C,3H,QS,4S,5C,66,8S,JD,9D,6S,1
3C,6S,QC,QH,5C,94,3S,8D,8S,KD,1
9C,KH,QD,3C,JC,36,2C,TD,TH,JD,0
JC,QS,5H,3C,2S,17,5C,JS,KH,7D,1
2S,4D,KD,7C,6S,113,AD,7H,5C,KH,0
8S,3H,8C,5C,JD,366,2H,4S,AD,TH,0
TS,7C,3C,4S,6S,177,5C,AH,4C,KD,1
4S,3S,5C,5H,QH,391,KC,4H,8S,AC,1
KC,6D,9D,TS,QD,377,TH,QC,2S,7C,1
3S,TD,6C,9C,JC,442,6S,6D,5D,JD,1
5D,TC,3S,6H,7H,123,5C,4C,KC,TD,1
5S,AH,JS,2S,8H,407,QS,KS,AS,7D,1
3S,5D,5C,9S,KH,56,6S,4S,3H,TS,0
3H,JD,6D,AC,5D,443,JS,KS,KC,QS,1
QS,QH,JH,2S,4S,210,QC,AC,KH,8D,1
9D,2C,KC,4D,6D,350,8C,KD,5H,AD,1
QC,3D,JC,TH,AD,152,7D,4C,2C,6H,1
AD,AS,KC,6S,4D,91,AH,6C,3H,5D,1
JC,9C,QH,5C,8H,448,QD,4D,4C,6S,1
QD,4C,9H,TD,3D,124,8D,7S,9D,5C,0
TC,AH,QC,AD,4S,232,JC,9C,KH,AS,0
3D,TH,AH,TC,9H,335,9C,QH,6C,4S,1
5C,AC,JC,TD,JD,258,9C,4S,7S,QD,0
AC,JC,7S,AH,6H,356,9H,TH,5D,QC,0
AS,2C,9H,4D,QS,80,JS,9C,4H,JC,1
5C,QC,2H,6S,5S,407,8S,7D,KH,TC,0
6C,6S,JS,JC,9D,272,AH,AS,9S,TD,1
TS,4S,QS,5H,5C,101,6D,TC,5D,QD,0
2D,5D,3H,8H,4C,20,4D,KD,8S,2S,0
6H,2D,3C,8S,9C,434,5H,JC,9H,4C,0
4S,5S,5H,2S,TD,218,KS,3H,JH,QS,1
JH,9H,2H,6D,8D,253,QC,3H,QS,8C,0
5C,2C,TS,3D,7S,384,JD,9C,KC,7D,0
JD,8C,JC,6S,2H,173,AH,6H,7C,TD,1
QD,6C,9S,6D,3S,215,7S,TD,7C,KD,0
TD,7C,2D,5C,AS,56,4D,7H,5H,6C,1
QC,9D,QS,9H,3C,381,6S,AC,4S,KH,1
8C,JS,5H,KH,3H,377,2C,3S,9D,AH,1
6D,9D,3S,TC,AH,499,8C,TS,6C,QC,1
4S,3D,5D,3C,TC,167,2C,KC,2H,9H,1
6S,2C,AH,QH,QC,457,4C,5D,2S,AC,0
4S,TS,8S,TC,5C,255,KC,2C,3C,7D,1
3S,3C,3H,4D,QH,235,6D,2D,9S,5S,0
JC,JS,4S,2S,3D,217,TS,2C,AS,8H,1
TC,5C,TH,7D,4D,354,2D,JD,QH,5S,0
KC,KD,TD,6D,3H,455,9S,TH,AD,2H,1
2S,5S,6C,9H,JD,129,9D,8S,JS,6D,0
KS,AC,8D,6S,4C,167,8C,9H,4S,7C,1
5H,JD,4H,KD,9D,211,6H,TS,JC,8C,0
AH,9H,3S,5H,QD,147,QC,6D,6H,KS,1
QH,6D,2D,5D,KH,108,AS,3H,KD,9D,0
AS,2D,QD,KH,3S,162,AC,6D,9H,JC,1
9D,4C,5S,TS,JS,338,6H,7S,8C,8D,0
QD,AS,2C,5S,9S,299,AH,TH,5D,JS,1
KS,QH,9D,2H,4C,180,7H,6D,2S,3S,0
AD,3H,5C,QH,AH,51,KS,4C,7D,TH,1
TC,TS,4H,5S,JH,217,7C,4S,9D,2C,1
2H,QD,4D,JH,KS,177,TS,AH,TH,JC,1
AC,TH,4C,5C,4D,31,2D,QS,QH,5H,0
JH,TC,5S,7S,QC,51,3S,QD,8D,6S,1
5H,QH,6C,4D,QC,266,4H,2C,5D,AC,0
6H,JH,7S,AS,2H,216,TD,8D,6C,8H,0
AS,KC,TD,3S,5S,419,7D,8S,AC,JC,0
8H,5H,4H,8D,6H,61,AH,QD,8S,9S,1
7H,2D,AD,TS,5D,121,7S,6H,7D,5H,0
7S,2C,JD,AC,TC,24,4H,9C,4C,5S,1
4C,2D,2H,JS,QS,366,2C,QC,KC,TH,1
5C,7H,KS,5D,3H,374,2H,JS,AC,AD,0
AD,3S,TH,9D,TD,460,7C,3D,AS,JH,0
QD,5S,QS,TD,9C,302,2S,TS,3C,KS,1
6S,AH,JS,2H,KS,98,KD,TS,JD,8S,1
KS,TH,4S,5H,5D,122,JD,9H,3H,7S,1
6C,6H,4C,4S,QD,205,TC,QS,7S,5H,1
JS,7S,2H,8S,8H,54,3D,4H,KS,5D,0
TS,JC,7C,6S,JS,10,KD,6H,3S,2H,1
5S,AS,JH,AC,2S,344,4H,3C,QH,QC,1
AD,AH,QC,KC,TC,468,7C,9C,6D,9D,1
3D,2S,4H,AD,AS,379,JD,3C,2H,8D,1
6H,JS,7S,AC,TD,391,QD,9S,8C,KC,0
2S,5H,6H,QS,KC,400,TD,2C,2D,8C,1
TS,KS,6D,9D,2D,106,9S,AD,9C,2C,0
5S,8H,QD,QC,8S,404,2S,2C,4H,2H,0
AS,8S,8H,6H,7H,35,9C,6C,2C,JH,1
KC,6S,TH,9C,QH,30,KS,5C,JC,8H,0
9C,JS,7C,4D,8S,301,KH,8D,3H,JH,0
2C,8S,6S,JH,6C,374,5S,5D,TH,QC,1
4S,QS,8H,AD,7H,218,5D,6C,5H,4C,1
JC,6H,5D,JS,QH,242,2C,KC,6S,AD,0
TD,TC,6C,7C,KD,24,4D,JH,4S,9S,1
7C,2S,8C,9H,8S,319,KH,3D,5C,4H,1
QH,JS,6D,TS,5D,438,4S,QD,JC,3S,1
KC,AS,2C,2H,QH,116,4C,3C,JC,9S,0
8C,2D,JD,KH,JC,480,5D,9S,6C,3D,1
QD,5C,7H,9C,KH,175,3C,AH,8D,AC,0
5D,QD,AH,QH,6S,56,AS,3S,8S,4C,1
7H,KH,TH,JD,9S,66,8S,JS,AH,3H,0
4H,KH,5H,7S,TS,397,9S,4C,2D,8D,1
TH,AC,5D,8H,4H,403,2H,7S,4S,AS,0
7C,9C,2C,8D,TS,160,JS,KH,6D,9H,1
3C,AC,7H,4H,2D,280,4C,4D,8C,TC,1
6C,3H,JD,AH,3D,177,2S,TS,QD,6D,0
4S,2D,TS,5S,5H,460,8H,8S,KS,4D,1
5D,AH,6S,JD,3D,411,AD,TD,4C,5S,1
2S,5C,KH,4C,QC,50,4H,9D,KD,AD,0
7D,8D,QS,2H,5D,97,8C,KH,6D,4S,0
TH,9H,6C,TD,2S,205,JH,7S,3C,6D,0
TS,8S,3C,7D,KC,219,KD,4S,JS,TH,1
4D,8S,9H,3C,8C,422,4H,4C,KC,6H,1
JC,TH,9D,5H,AH,32,AD,QD,8D,2S,1
8C,8D,AS,3D,7C,226,9D,3C,5D,TH,1
JD,8H,8C,QS,QH,399,4D,6D,KD,9S,0
AC,3D,3H,2C,TD,243,7S,3S,AS,TC,1
AC,JC,KH,4H,7H,93,QC,2H,QD,JH,0
2S,5D,KH,8H,9S,47,7C,AC,2C,6C,0
3D,8C,6S,JS,5S,357,9S,KH,TS,AH,0
JD,9H,3H,AD,4C,57,8D,QC,2D,4H,0
2C,6H,6C,8C,3S,153,9H,9C,9D,8H,1
2H,5S,JC,KC,AH,63,9S,3H,QS,5D,0
QD,AS,JS,JH,7D,261,TH,4D,3C,3H,0
2H,2S,QD,5H,4H,372,TD,7D,6S,AS,0
AD,5D,JS,3C,QC,128,AH,3H,7D,AS,1
6S,7H,TS,2S,6C,450,3D,2H,TD,9S,0
5C,8D,TH,2H,4S,362,3S,4H,JS,KS,1
TD,QD,TC,KH,AD,273,AS,AH,6D,KS,1
5H,2S,AS,5C,TC,399,7D,KC,5D,TH,0
QC,9S,7S,3D,TH,405,9D,8C,4S,4C,1
4S,QH,JH,JC,3C,377,5D,TS,TC,5H,0
9S,9C,KD,6H,3H,306,JC,KH,JS,QS,1
KS,6C,AC,JC,9C,424,5S,4H,QH,7D,0
7D,9S,6S,8S,AS,116,7S,6D,9H,2D,1
KC,3C,TH,KS,2D,396,JS,2S,TS,4H,0
2D,7H,QH,QC,8C,183,TD,4C,KD,8D,0
TH,3H,KH,5D,4C,11,QD,2C,TD,4S,0
7D,TS,JH,2C,TH,420,9S,9H,AC,3D,1
AS,JH,TS,2C,AD,141,4H,5S,JD,8D,0
QD,7C,AD,TH,4S,117,8C,2D,JH,9D,0
5H,JD,3D,AC,AH,436,5C,9D,TH,4S,1
4S,KH,8C,AH,QD,123,QC,TH,4D,AC,0
AH,AD,TC,4S,QH,141,2C,QD,TS,4C,1
7C,8D,AH,4S,TH,374,QS,2C,6H,KS,0
6S,2H,TD,KS,KC,452,AS,4C,QH,9D,1
6H,4H,9H,3C,5C,123,JD,QC,2S,7C,0
JH,2H,4C,QC,7C,234,QH,8S,5H,5D,1
QC,8H,AC,TS,2C,386,JC,KC,5C,7C,1
JS,7S,3D,JH,AS,163,QS,TD,KC,2C,0
TD,2H,8H,KC,8S,159,5S,4D,5D,4H,0
QD,3C,6H,9C,2H,192,KD,4S,KH,8H,0
4C,7C,AD,KH,8C,243,TS,3S,JH,2D,0
8D,3C,4H,2H,3D,36,KS,QD,QH,TS,1
4H,TH,7C,4C,QC,60,JS,9D,QH,7D,0
TD,9D,4S,8H,4H,106,TS,5D,9S,7H,1
4C,6D,KD,9D,5C,332,9C,3H,JS,5D,1
8H,4H,TH,7H,AD,213,9D,2C,3H,3D,0
4D,TH,9C,TD,JH,313,2S,8C,5H,KH,0
KS,2S,QD,2C,TC,342,KC,AC,AD,3D,1
KD,QH,3C,8C,7C,94,5H,2S,TS,5C,0
QC,8S,QH,3S,TC,488,6S,8C,6C,KC,1
9H,6D,5S,KS,AH,321,3S,TD,7H,5D,0
2S,7D,4D,JD,AD,280,3D,8H,TC,AC,1
8S,9H,QS,6D,QC,289,6C,JH,4C,KS,1
KD,7S,5C,TD,6H,336,3C,JC,AH,AS,0
TD,6H,QC,JC,KH,169,4H,QH,3H,6D,1
5C,QD,KD,AD,7H,134,3D,TD,7S,8H,1
JS,8D,9H,8C,6S,55,8H,QS,4S,TD,1
3S,KD,6C,AD,AC,492,QS,6D,2D,5D,1
JS,AD,AH,9H,QH,415,AC,8D,2H,6D,1
KS,5D,9C,3S,8C,29,9S,2C,7D,5C,1
7S,6C,KH,AS,9S,45,5H,3C,KS,7D,0
9C,QH,JH,2S,AH,252,2C,3D,AC,QD,0
JS,AS,6S,8D,6H,282,3D,5H,7H,7D,0
TS,8H,TC,8D,7S,91,8S,QC,5H,9D,1
9S,JC,AC,9C,3D,314,2S,AS,5C,TD,1
KC,TC,9C,QD,AC,22,8C,QH,3C,5C,1
JD,9C,9D,2D,5H,472,8S,AD,2C,5D,0
2C,8H,9H,JD,9C,247,TC,4H,5D,TS,0
JC,KS,KH,QS,9H,300,8H,3D,7S,QD,0
KC,JC,3H,AH,7S,224,2H,4H,5D,TC,0
2S,8C,QD,6D,KH,199,AH,5D,AC,7C,0
AS,QC,4H,5S,8H,214,3D,JC,KH,TC,0
2S,8H,6C,7H,TH,111,8S,QC,2H,JC,1
2D,JD,8D,3C,4H,371,JC,9H,8H,8S,0
6S,KC,2D,8D,2H,383,7C,8C,7D,JH,1
8S,TC,9D,3S,8C,196,8H,4H,QH,3C,1
3C,8S,5S,KH,9H,88,5D,5C,JH,2S,1
7D,TS,AS,AH,8D,27,2D,JH,3H,KC,0
QD,7H,7C,7D,3S,213,JS,9C,KS,QC,0
9D,4H,JS,AH,9C,345,3C,8H,2S,7D,1
AS,2C,6S,TH,AC,17,JC,4H,7H,6D,0
KC,9H,KS,2C,7S,440,8S,QD,4H,9S,0
2D,3C,JH,9C,8H,36,AD,QC,AC,KC,0
3D,6C,QS,3S,KS,381,5S,JD,QD,5C,0
7S,TC,8C,4S,6H,328,5S,4H,QD,5H,0
JS,AC,3C,JD,TS,171,KC,KS,TD,AS,0
6D,2S,3D,3H,JD,433,4D,AH,QD,KC,1
AS,5H,8D,8S,5C,329,7S,TD,9H,6S,0
AD,7S,9D,5S,7C,152,6S,2S,TH,8H,0
4D,7D,AS,TD,7S,278,3C,4C,5S,QS,1
JC,5S,QS,8H,8D,132,JD,5D,JS,7S,0
8C,8S,7D,TD,TC,294,7H,9H,6H,JS,0
3H,4S,TC,9S,7C,326,9D,2S,8C,2C,1
7H,4S,KH,5C,AD,234,TH,6D,TC,6H,0
QH,6S,4D,6C,4S,347,8D,AH,AC,TH,0
KD,5C,2S,AS,8H,487,2D,4C,QS,2H,0
3H,8S,2D,5D,JD,390,QC,9D,9C,2C,0
7H,9H,TS,9S,4S,58,7D,TD,3S,AC,1
5D,8C,8H,6H,2H,94,3S,KC,TC,TH,0
7H,AS,5S,AC,4H,175,AH,5D,9D,3H,1
QD,6H,TC,KH,7C,139,8C,4C,5D,7H,0
4S,AC,TC,9S,2C,340,3C,TD,3H,5S,0
AH,4S,8S,9H,TD,430,AD,4H,2C,2S,1
JC,QD,4H,8D,5H,244,5C,4S,8C,KD,1
